barrer_big.1.1, placeholder.big_barrier.2
drapes.3.3, placeholder.drapes.w
drapes.3.4, placeholder.drapes.e
floor.1, placeholder.floor.high
floor.10, placeholder.floor.high
floor.11, placeholder.floor.high
floor.12, placeholder.floor.high
floor.13, placeholder.floor.high
floor.14, placeholder.floor.high
floor.15, placeholder.floor.high
floor.16, placeholder.floor.high
floor.17, placeholder.floor.high
floor.18, placeholder.floor.high
floor.19, placeholder.floor.high
floor.2, placeholder.floor.high
floor.22, placeholder.floor.high
floor.23, placeholder.floor.high
floor.24, placeholder.floor.high
floor.25, placeholder.floor.high
floor.26, placeholder.floor.high
floor.27, placeholder.floor.high
floor.28, placeholder.floor.high
floor.29, placeholder.floor.high
floor.3, placeholder.floor.high
floor.31, placeholder.floor.high
floor.32, placeholder.floor.high
floor.33, placeholder.floor.high
floor.34, placeholder.floor.high
floor.35, placeholder.floor.high
floor.4, placeholder.floor.high
floor.5, placeholder.floor.high
floor.6, placeholder.floor.high
floor.7, placeholder.floor.high
floor.8, placeholder.floor.high
floor.9, placeholder.floor.high
floor.cracked.2, floor.2.a.high.cracked.1
floor.cracked.3, floor.3.a.high.cracked.1
floor.cracked.4, floor.4.a.high.cracked.1
floor30, placeholder.floor.high
floor_border.2, carpet_border
floor_grid, floor_net
floor_low.1, placeholder.floor.low
floor_low.10, placeholder.floor.low
floor_low.11, placeholder.floor.low
floor_low.12, placeholder.floor.low
floor_low.13, placeholder.floor.low
floor_low.14, placeholder.floor.low
floor_low.15, placeholder.floor.low
floor_low.16, placeholder.floor.low
floor_low.17, placeholder.floor.low
floor_low.18, placeholder.floor.low
floor_low.2, placeholder.floor.low
floor_low.25, placeholder.floor.low
floor_low.26, placeholder.floor.low
floor_low.27, placeholder.floor.low
floor_low.28, placeholder.floor.low	
floor_low.29, placeholder.floor.low
floor_low.3, placeholder.floor.low
floor_low.30, placeholder.floor.low
floor_low.31, placeholder.floor.low
floor_low.32, placeholder.floor.low
floor_low.33, placeholder.floor.low
floor_low.34, placeholder.floor.low
floor_low.35, placeholder.floor.low
floor_low.4, placeholder.floor.low
floor_low.5, placeholder.floor.low
floor_low.6, placeholder.floor.low
floor_low.7, placeholder.floor.low
floor_low.8, placeholder.floor.low
floor_low.9, placeholder.floor.low 
floor_low.cracked.2, floor.2.b.low.cracked.1
floor_low.cracked.3, floor.3.b.low.cracked.1
floor_low.cracked.4, floor.4.b.low.cracked.1
floor_pot, placeholder.pot
floor_sand, floor.sand
floor_small.1, carpet.1
floor_small.2, carpet.1
floor_small.5, carpet.1
floor_small.6, carpet.1
floor_water_drain, floor_drain
hole.1, hole_border.n
hole.2, hole_border.s
hole.3, hole_border.w
hole.4, hole_border.e
hole.corner.1, hole_border_inner_corner.nw
hole.corner.2, hole_border_inner_corner.ne
hole.corner.3, hole_border_inner_corner.sw
hole.corner.4, hole_border_inner_corner.se
hole.corner_reverse.1, hole_border_outer_corner.nw
hole.corner_reverse.2, hole_border_outer_corner.ne
hole.corner_reverse.3, hole_border_outer_corner.sw
hole.corner_reverse.4, hole_border_outer_corner.se
hole_parallax.1, floor.1.a.paralax
hole_parallax.2, floor.2.a.paralax
hole_parallax.3, floor.3.a.paralax
hole_parallax.4, floor.4.a.paralax
hole_parallax.5, floor.5.a.paralax
hole_parallax.6, floor.6.a.paralax
invisible_traversable, invisible.traversable
invisible_wall, invisible.wall
lava, lava_hurt
lava_parallax, lava_hole
placeholder_bigchest, placeholder.big_chest
placeholder_boss_1, placeholder.boss.1
placeholder_enemy, placeholder.enemy
placeholder_stone, placeholder.stone
placeholder_treasure_block, placeholder.treasure_block
placeholder_treasure_obstacle, placeholder.treasure_obstacle
placeholder_treasure_open, placeholder.treasure_open
placeholder_treasure_puzzle, placeholder.treasure_puzzle
spikes, spike_floor
stage.1, placeholder_stage.sw
stage.2, placeholder_stage.se
stage.3, placeholder_stage.s
stage.4, placeholder_stage.w
stage.5, placeholder_stage.e
stage.6, placeholder_stage.nw
stage.7, placeholder_stage.ne
stage_big.1, big_stage.n
stage_big.2, big_stage.s
stage_big.3, big_stage.w
stage_big.4, big_stage.e
stage_big.corner.1, big_stage.nw
stage_big.corner.2, big_stage.ne
stage_big.corner.3, big_stage.sw
stage_big.corner.4, big_stage.se
stage_big.end.1, big_stage.r
stage_big.end.2, big_stage.l
stage_big.steps, big_stage_stairs
stage_big.steps_border.1, big_stage_stairs.l
stage_big.steps_border.2, big_stage_stairs.r
stage_big_fill, big_stage_carpet
stage_big_fill.corner.1, big_stage_carpet.nw
stage_big_fill.corner.2, big_stage_carpet.ne
stage_big_fill.corner.3, big_stage_carpet.sw
stage_big_fill.corner.4, big_stage_carpet.se
stage_big_fill.edge.1, big_stage_carpet.n
stage_big_fill.edge.2, big_stage_carpet.e
stage_big_fill.edge.3, big_stage_carpet.s
stage_big_fill.edge.4, big_stage_carpet.w  
statue.1, placeholder.statue
statue.2, placeholder.statue
statue.3, placeholder.statue
statue.4, placeholder.statue
statue.5, placeholder.statue
statue.6, placeholder.statue
statue.7, placeholder.statue
statue.8, placeholder.statue
steps, big_stage_stairs
tongue, small_statue.1
torch, floor_torch.lit
torch_big.bottom, pedestal_torch_bottom
torch_big.top, pedestal_torch_top
torch_off, floor_torch
wall.1, high_wall.n
wall.2,	high_wall.s
wall.3,	high_wall.w
wall.4, high_wall.e
wall.corner.1, high_wall_inner_corner.nw
wall.corner.2, high_wall_inner_corner.ne
wall.corner.3, high_wall_inner_corner.sw
wall.corner.4, high_wall_inner_corner.se
wall.corner_reverse.1, high_wall_outer_corner.nw
wall.corner_reverse.2, high_wall_outer_corner.ne
wall.corner_reverse.3, high_wall_outer_corner.sw
wall.corner_reverse.4, high_wall_outer_corner.se
wall_border.1, wall_border.high.n
wall_border.2, wall_border.high.s
wall_border.3, wall_border.high.w
wall_border.4, wall_border.high.e
wall_border.corner.1, wall_border_inner_corner.high.nw
wall_border.corner.2, wall_border_inner_corner.high.ne
wall_border.corner.3, wall_border_inner_corner.high.sw
wall_border.corner.4, wall_border_inner_corner.high.se
wall_border.corner_reverse.1, wall_border_outer_corner.high.nw
wall_border.corner_reverse.2, wall_border_outer_corner.high.ne
wall_border.corner_reverse.3, wall_border_outer_corner.high.sw
wall_border.corner_reverse.4, wall_border_outer_corner.high.se
wall_diag.1, high_wall.nw.1
wall_diag.2, high_wall.ne.1
wall_diag.3, high_wall.sw.1
wall_diag.4, high_wall.se.1
wall_diag.border.1, wall_border.high.nw
wall_diag.border.2, wall_border.high.ne
wall_diag.border.3, wall_border.high.sw
wall_diag.border.4, wall_border.high.se
wall_hole.1, chasm_wall.n
wall_hole.2, chasm_wall.s
wall_hole.3, chasm_wall.w
wall_hole.4, chasm_wall.e
wall_hole.corner.1, chasm_wall_inner_corner.nw
wall_hole.corner.2, chasm_wall_inner_corner.ne
wall_hole.corner.3, chasm_wall_inner_corner.sw
wall_hole.corner.4, chasm_wall_inner_corner.se
wall_hole.corner_reverse.1, chasm_wall_outer_corner.nw
wall_hole.corner_reverse.2, chasm_wall_outer_corner.ne
wall_hole.corner_reverse.3, chasm_wall_outer_corner.sw
wall_hole.corner_reverse.4, chasm_wall_outer_corner.se
wall_low.1, wall.low.n
wall_low.2, wall.low.s
wall_low.3, wall.low.w
wall_low.4, wall.low.e
wall_low.corner.1, wall_border_inner_corner.low.nw
wall_low.corner.2, wall_border_inner_corner.low.ne
wall_low.corner.3, wall_border_inner_corner.low.sw
wall_low.corner.4, wall_border_inner_corner.low.se
wall_low.corner_reverse.1, wall_border_outer_corner.low.nw
wall_low.corner_reverse.2, wall_border_outer_corner.low.ne
wall_low.corner_reverse.3, wall_border_outer_corner.low.sw
wall_low.corner_reverse.4, wall_border_outer_corner.low.se
wall_low_border.1, wall_border.low.n
wall_low_border.2, wall_border.low.s
wall_low_border.3, wall_border.low.w
wall_low_border.4, wall_border.low.e
wall_low_border.corner.1, wall_border_inner_corner.low.nw
wall_low_border.corner.2, wall_border_inner_corner.low.ne
wall_low_border.corner.3, wall_border_inner_corner.low.sw
wall_low_border.corner.4, wall_border_inner_corner.low.se
wall_low_border.corner_reverse.1, wall_border_outer_corner.low.nw
wall_low_border.corner_reverse.2, wall_border_outer_corner.low.ne
wall_low_border.corner_reverse.3, wall_border_outer_corner.low.sw
wall_low_border.corner_reverse.4, wall_border_outer_corner.low.se
wall_low_diag.1, low_wall.nw.1
wall_low_diag.2, low_wall.ne.1
wall_low_diag.3, low_wall.sw.1
wall_low_diag.4, low_wall.se.1
wall_low_diag.border.1, wall_border.low.nw
wall_low_diag.border.2, wall_border.low.ne
wall_low_diag.border.3, wall_border.low.sw
wall_low_diag.border.4, wall_border.low.se
wall_low_diag.bottom.1, low_wall.nw.2
wall_low_diag.bottom.2, low_wall.ne.2
wall_low_diag.bottom.3, low_wall.sw.2
wall_low_diag.bottom.4, low_wall.se.2
wall_pillar.1.1, place_holder.wall_pillar.n
wall_pillar.1.2, place_holder.wall_pillar.s
wall_pillar.1.3, place_holder.wall_pillar.w
wall_pillar.1.4, place_holder.wall_pillar.e
wall_pillar.10.1, place_holder.wall_pillar.n
wall_pillar.10.2, place_holder.wall_pillar.s
wall_pillar.10.3, place_holder.wall_pillar.w
wall_pillar.10.4, place_holder.wall_pillar.e
wall_pillar.2.1, place_holder.wall_pillar.n
wall_pillar.2.2, place_holder.wall_pillar.s
wall_pillar.2.3, place_holder.wall_pillar.w
wall_pillar.2.4, place_holder.wall_pillar.e
wall_pillar.3.1, place_holder.wall_pillar.n
wall_pillar.3.2, place_holder.wall_pillar.s
wall_pillar.3.3, place_holder.wall_pillar.w
wall_pillar.3.4, place_holder.wall_pillar.e
wall_pillar.4.1, place_holder.wall_pillar.n
wall_pillar.4.2, place_holder.wall_pillar.s
wall_pillar.4.3, place_holder.wall_pillar.w
wall_pillar.4.4, place_holder.wall_pillar.e
wall_pillar.5.1, place_holder.wall_pillar.n
wall_pillar.5.2, place_holder.wall_pillar.s
wall_pillar.5.3, place_holder.wall_pillar.w
wall_pillar.5.4, place_holder.wall_pillar.e
wall_pillar.6.1, place_holder.wall_pillar.n
wall_pillar.6.2, place_holder.wall_pillar.s
wall_pillar.6.3, place_holder.wall_pillar.w
wall_pillar.6.4, place_holder.wall_pillar.e
wall_pillar.7.1, place_holder.wall_pillar.n
wall_pillar.7.2, place_holder.wall_pillar.s
wall_pillar.7.3, place_holder.wall_pillar.w
wall_pillar.7.4, place_holder.wall_pillar.e
wall_pillar.8.1, place_holder.wall_pillar.n
wall_pillar.8.2, place_holder.wall_pillar.s
wall_pillar.8.3, place_holder.wall_pillar.w
wall_pillar.8.4, place_holder.wall_pillar.e
wall_pillar.9.1, place_holder.wall_pillar.n
wall_pillar.9.2, place_holder.wall_pillar.s
wall_pillar.9.3, place_holder.wall_pillar.w
wall_pillar.9.4, place_holder.wall_pillar.e
wall_statue.1.1, placeholder.wall_statue.n
wall_statue.1.2, placeholder.wall_statue.s
wall_statue.1.3, placeholder.wall_statue.w
wall_statue.1.4, placeholder.wall_statue.e
wall_statue.10.1, placeholder.wall_statue.n
wall_statue.10.2, placeholder.wall_statue.s
wall_statue.10.3, placeholder.wall_statue.w
wall_statue.10.4, placeholder.wall_statue.e
wall_statue.11.1, placeholder.wall_statue.n
wall_statue.11.2, placeholder.wall_statue.s
wall_statue.11.3, placeholder.wall_statue.w
wall_statue.11.4, placeholder.wall_statue.e
wall_statue.2.1, placeholder.wall_statue.n
wall_statue.2.2, placeholder.wall_statue.s
wall_statue.2.3, placeholder.wall_statue.w
wall_statue.2.4, placeholder.wall_statue.e
wall_statue.3.1, placeholder.wall_statue.n
wall_statue.3.2, placeholder.wall_statue.s
wall_statue.3.3, placeholder.wall_statue.w
wall_statue.3.4, placeholder.wall_statue.e
wall_statue.4.1, placeholder.wall_statue.n
wall_statue.4.2, placeholder.wall_statue.s
wall_statue.4.3, placeholder.wall_statue.w
wall_statue.4.4, placeholder.wall_statue.e
wall_statue.5.1, placeholder.wall_statue.n
wall_statue.5.2, placeholder.wall_statue.s
wall_statue.5.3, placeholder.wall_statue.w
wall_statue.5.4, placeholder.wall_statue.e
wall_statue.7.1, placeholder.wall_statue.n
wall_statue.7.2, placeholder.wall_statue.s
wall_statue.7.3, placeholder.wall_statue.w
wall_statue.7.4, placeholder.wall_statue.e
wall_statue.8.1, placeholder.wall_statue.n
wall_statue.8.2, placeholder.wall_statue.s
wall_statue.8.3, placeholder.wall_statue.w
wall_statue.8.4, placeholder.wall_statue.e
wall_statue.9.1, placeholder.wall_statue.n
wall_statue.9.2, placeholder.wall_statue.s
wall_statue.9.3, placeholder.wall_statue.w
wall_statue.9.4, placeholder.wall_statue.e
wall_torch.1, wall_torch.n
wall_torch.2, wall_torch.s
wall_torch.3, wall_torch.w
wall_torch.4, wall_torch.e
water_pool_ladder.1, water_ladder.n
water_pool_ladder.2, water_ladder.s
water_pool_ladder.3, water_ladder.w
water_pool_ladder.4, water_ladder.e
water_shallow, floor.shallow_water
water_shallow.corner.1, shallow_water_border_outer_corner.nw
water_shallow.corner.2, shallow_water_border_outer_corner.ne
water_shallow.corner.3, shallow_water_border_outer_corner.sw
water_shallow.corner.4, shallow_water_border_outer_corner.se
water_shallow.corner_reverse.1, shallow_water_border_inner_corner.nw
water_shallow.corner_reverse.2, shallow_water_border_inner_corner.ne
water_shallow.corner_reverse.3, shallow_water_border_inner_corner.sw
water_shallow.corner_reverse.4, shallow_water_border_inner_corner.se
water_wall.drain.1, shallow_water_border_drain.n
water_wall.drain.2, shallow_water_border_drain.s
water_wall.drain.3, shallow_water_border_drain.w
water_wall.drain.4, shallow_water_border_drain.e
water_wall.drain_gate.1, wall_drain.n
water_wall.drain_gate.2, wall_drain.s
water_wall.drain_gate.3, wall_drain.w
water_wall.drain_gate.4, wall_drain.e
waterfall.1.bottom,	waterfall_bottom.n
waterfall.1.middle, waterfall_middle.n
waterfall.1.top, waterfall_top.n
waterfall.2.bottom, waterfall_bottom.s
waterfall.2.middle, waterfall_middle.s
waterfall.2.top, waterfall_top.s
waterfall.3.bottom, waterfall_bottom.w
waterfall.3.middle, waterfall_middle.w
waterfall.3.top, waterfall_top.w
waterfall.4.bottom, waterfall_bottom.e
waterfall.4.middle, waterfall_middle.e
waterfall.4.top, waterfall_top.e
